Data;Kurs;Zmiana;Nazwa Tabeli
2016-09-05;4.3480;-0.72;171/A/NBP/2016
2016-09-02;4.3796;0.43;170/A/NBP/2016
2016-09-01;4.3607;0.12;169/A/NBP/2016
2016-08-31;4.3555;0.37;168/A/NBP/2016
2016-08-30;4.3395;0.00;167/A/NBP/2016
2016-08-29;4.3395;0.29;166/A/NBP/2016
2016-08-26;4.3270;0.41;165/A/NBP/2016
2016-08-25;4.3095;-0.05;164/A/NBP/2016
2016-08-24;4.3116;-0.05;163/A/NBP/2016
2016-08-23;4.3139;0.25;162/A/NBP/2016
2016-08-22;4.3030;0.34;161/A/NBP/2016
2016-08-19;4.2884;0.11;160/A/NBP/2016
2016-08-18;4.2837;-0.06;159/A/NBP/2016
2016-08-17;4.2863;0.38;158/A/NBP/2016
2016-08-16;4.2700;0.17;157/A/NBP/2016
2016-08-12;4.2626;-0.11;156/A/NBP/2016
2016-08-11;4.2674;0.10;155/A/NBP/2016
2016-08-10;4.2632;-0.14;154/A/NBP/2016
2016-08-09;4.2693;-0.51;153/A/NBP/2016
2016-08-08;4.2912;-0.15;152/A/NBP/2016
2016-08-05;4.2975;0.01;151/A/NBP/2016
2016-08-04;4.2971;-0.38;150/A/NBP/2016
2016-08-03;4.3135;-0.80;149/A/NBP/2016
2016-08-02;4.3484;-0.21;148/A/NBP/2016
2016-08-01;4.3576;-0.25;147/A/NBP/2016
2016-07-29;4.3684;-0.12;146/A/NBP/2016
2016-07-28;4.3736;0.09;145/A/NBP/2016
2016-07-27;4.3695;0.00;144/A/NBP/2016
2016-07-26;4.3694;0.22;143/A/NBP/2016
2016-07-25;4.3600;0.08;142/A/NBP/2016
2016-07-22;4.3564;-0.32;141/A/NBP/2016
2016-07-21;4.3706;-0.16;140/A/NBP/2016
2016-07-20;4.3776;-0.08;139/A/NBP/2016
2016-07-19;4.3811;-0.50;138/A/NBP/2016
2016-07-18;4.4032;-0.20;137/A/NBP/2016
2016-07-15;4.4121;0.12;136/A/NBP/2016
2016-07-14;4.4070;0.12;135/A/NBP/2016
2016-07-13;4.4016;-0.47;134/A/NBP/2016
2016-07-12;4.4224;0.12;133/A/NBP/2016
