Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,27.983,27.983,27.721,27.983,2087
2012-01-03,28.028,28.028,27.381,27.547,4550
2012-01-04,27.809,27.809,27.415,27.547,2762
2012-01-05,27.8,27.896,27.8,27.896,1118
2012-01-09,28.106,28.115,27.721,27.721,2861
2012-01-10,28.071,28.115,27.809,28.115,12215
2012-01-11,28.115,29.934,28.115,29.296,11326
2012-01-12,29.732,30.608,29.732,30.17,9925
2012-01-13,30.494,30.502,29.732,29.732,3073
2012-01-16,29.741,29.994,29.732,29.994,4664
2012-01-17,29.994,30.599,29.349,30.258,1603
2012-01-18,30.179,30.433,30.004,30.241,29458
2012-01-19,30.52,30.52,29.732,30.302,6460
2012-01-20,30.082,30.302,29.427,29.907,3840
2012-01-23,30.284,30.346,29.751,30.258,5669
2012-01-24,29.751,30.126,29.732,29.732,3013
2012-01-25,29.393,29.725,29.383,29.514,2249
2012-01-26,29.471,29.951,29.471,29.732,7796
2012-01-27,29.732,29.855,29.732,29.732,2604
2012-01-30,29.646,29.646,29.383,29.383,3815
2012-01-31,29.559,29.646,29.471,29.646,3692
2012-02-01,29.732,31.133,29.646,31.133,10978
2012-02-02,31.237,31.728,30.808,31.482,3177
2012-02-03,31.22,32.357,31.22,32.357,5139
2012-02-06,32.357,32.881,32.357,32.881,20870
2012-02-07,32.871,33.205,32.444,32.871,73013
2012-02-08,32.461,33.406,32.461,33.406,4327
2012-02-09,33.406,34.446,33.406,34.446,5679
2012-02-10,34.446,34.63,33.589,34.622,31473
2012-02-13,34.979,34.979,34.717,34.979,10420
2012-02-14,34.804,35.504,34.804,34.979,4555
2012-02-15,34.979,35.591,34.979,35.075,3649
2012-02-16,35.156,35.417,35.156,35.33,15103
2012-02-17,35.269,36.816,35.269,36.816,3946
2012-02-20,37.603,37.603,36.904,37.516,1564
2012-02-21,37.603,37.691,36.466,36.466,10096
2012-02-22,35.33,35.855,34.446,34.542,10911
2012-02-23,34.542,34.849,33.581,34.804,2181
2012-02-24,34.804,34.804,33.843,34.534,806
2012-02-27,33.502,34.193,33.502,34.193,1674
2012-02-28,33.589,34.971,33.589,34.122,1206
2012-02-29,34.542,34.542,33.834,34.106,887
2012-03-01,34.106,36.265,34.106,35.766,7635
2012-03-02,35.855,36.947,35.855,36.686,3984
2012-03-05,36.597,36.597,35.33,35.838,2434
2012-03-06,35.156,35.156,33.239,33.843,13335
2012-03-07,33.239,34.717,33.239,34.542,932
2012-03-08,35.679,35.855,34.892,35.417,2594
2012-03-09,35.679,35.766,34.979,35.766,4972
2012-03-12,35.067,39.343,35.067,38.303,51882
2012-03-13,37.865,39.256,37.865,38.487,7593
2012-03-14,38.67,39.789,38.478,39.352,47875
2012-03-15,40.053,40.227,39.921,40.219,4236
2012-03-16,40.139,40.393,38.145,40.227,8391
2012-03-19,39.832,40.227,39.832,40.227,6863
2012-03-20,39.877,40.314,39.614,40.209,513
2012-03-21,39.745,40.043,39.458,40.043,3306
2012-03-22,39.877,40.053,39.081,39.702,42473
2012-03-23,39.484,39.484,37.035,39.081,5008
2012-03-26,39.081,39.343,37.717,39.343,1741
2012-03-27,39.352,39.702,39.352,39.702,2154
2012-03-28,39.789,40.122,39.178,39.693,54298
2012-03-29,40.139,40.139,39.921,39.921,402
2012-03-30,39.921,39.973,39.091,39.877,68098
2012-04-02,39.832,39.832,39.185,39.352,46163
2012-04-03,39.352,39.947,39.265,39.938,1862
2012-04-04,39.789,40.882,38.923,40.874,7318
2012-04-05,40.401,42.413,40.401,42.195,20385
2012-04-10,41.101,42.186,41.101,41.539,13313
2012-04-11,41.109,41.661,41.109,41.626,1687
2012-04-12,41.714,42.195,39.624,42.195,10627
2012-04-13,42.37,44.424,41.976,43.288,84992
2012-04-16,43.288,44.162,43.069,44.075,5164
2012-04-17,44.25,45.562,44.25,45.037,9789
2012-04-18,45.473,45.473,44.599,44.599,29480
2012-04-19,44.731,45.429,42.868,44.512,3108
2012-04-20,44.075,44.512,43.297,43.725,29287
2012-04-23,43.725,43.725,39.712,41.049,7085
2012-04-24,40.594,42.578,40.594,41.871,2555
2012-04-25,42.85,43.017,41.888,42.15,708
2012-04-26,42.15,42.675,41.276,41.363,38048
2012-04-27,41.381,41.906,41.354,41.906,891
2012-04-30,42.491,42.763,41.976,42.763,670
2012-05-02,42.85,43.025,42.326,42.326,307
2012-05-04,42.326,42.326,41.976,42.055,167
2012-05-07,42.37,42.37,41.101,42.134,827
2012-05-08,41.101,41.976,40.934,41.976,4304
2012-05-09,41.548,41.556,40.673,41.276,3411
2012-05-10,41.214,41.276,37.691,39.352,12452
2012-05-11,37.865,39.877,37.865,39.877,9391
2012-05-14,39.877,40.227,38.049,40.227,3387
2012-05-15,39.904,39.965,38.915,39.614,2300
2012-05-16,39.352,40.219,37.865,39.702,17731
2012-05-17,38.565,39.658,38.565,39.178,3250
2012-05-18,38.041,39.125,38.041,39.125,4920
2012-05-21,37.753,39.134,37.753,38.74,3054
2012-05-22,38.049,38.574,38.049,38.478,2497
2012-05-23,37.996,37.996,36.729,37.079,10344
2012-05-24,37.079,37.079,36.037,36.44,20191
2012-05-25,36.143,36.729,35.942,36.641,1978
2012-05-28,35.985,37.167,35.951,37.167,1087
2012-05-29,36.606,38.478,36.606,38.478,1518
2012-05-30,37.691,38.469,37.385,38.469,1390
2012-05-31,37.892,38.478,37.892,38.478,639
2012-06-01,38.136,38.827,37.725,38.478,775
2012-06-04,38.32,38.32,37.603,37.612,997
2012-06-05,37.385,38.25,36.081,37.271,2317
2012-06-06,37.358,38.382,37.358,38.382,1584
2012-06-08,39.002,40.227,37.612,40.227,12026
2012-06-11,40.664,40.664,39.545,39.545,828
2012-06-12,38.74,39.352,38.74,39.352,94
2012-06-13,39.772,39.772,38.391,38.391,961
2012-06-14,37.892,39.073,37.787,39.073,929
2012-06-15,38.128,38.994,38.128,38.303,14443
2012-06-18,38.128,39.081,38.128,39.081,344
2012-06-19,38.18,39.256,38.18,39.256,8263
2012-06-20,39.78,39.78,38.303,38.303,71328
2012-06-21,38.74,39.002,37.979,39.002,752
2012-06-22,37.979,39.002,37.979,39.002,282
2012-06-25,39.002,39.002,38.145,38.985,2082
2012-06-26,39.002,39.737,38.478,38.958,14030
2012-06-27,38.95,39.614,38.522,38.783,16087
2012-06-28,38.312,39.326,38.312,38.994,788
2012-06-29,38.661,39.335,38.565,39.326,2320
2012-07-02,39.343,39.343,39.15,39.335,204
2012-07-03,38.915,39.002,38.915,38.915,276
2012-07-04,38.915,39.091,38.478,38.915,1002
2012-07-05,38.74,38.915,38.391,38.915,1685
2012-07-06,38.915,38.915,38.452,38.565,1066
