Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,5.24,5.38,5.24,5.28,497371
2012-01-03,5.26,5.27,5.15,5.16,330745
2012-01-04,5.16,5.21,5.07,5.15,152831
2012-01-05,5.09,5.15,5.04,5.13,158097
2012-01-09,5.11,5.15,5.03,5.13,171407
2012-01-10,5.15,5.3,5.1,5.23,376774
2012-01-11,5.26,5.33,5.13,5.17,260992
2012-01-12,5.2,5.29,5.16,5.25,263786
2012-01-13,5.29,5.29,5.07,5.13,441144
2012-01-16,5.03,5.16,5.03,5.13,194807
2012-01-17,5.18,5.29,5.13,5.21,971909
2012-01-18,5.23,5.28,5.17,5.24,190929
2012-01-19,5.26,5.27,5.18,5.25,201712
2012-01-20,5.21,5.26,5.21,5.24,86531
2012-01-23,5.23,5.95,5.21,5.95,2729928
2012-01-24,6.1,6.2,5.95,6.08,2611722
2012-01-25,6.1,6.1,5.85,6.05,1142381
2012-01-26,6.15,6.49,6,6.14,1988101
2012-01-27,6.13,6.27,6.03,6.09,980199
2012-01-30,6.07,6.08,5.85,6.06,753948
2012-01-31,6.06,6.19,5.99,6.07,591067
2012-02-01,6.05,6.27,6.05,6.16,952505
2012-02-02,6.24,6.24,6.09,6.13,462024
2012-02-03,6.15,6.38,6.09,6.21,1457025
2012-02-06,6.21,6.27,6.13,6.25,437587
2012-02-07,6.26,6.3,6.11,6.21,519905
2012-02-08,6.22,6.45,6.13,6.27,1568670
2012-02-09,6.3,6.35,6.15,6.15,812441
2012-02-10,6.15,6.15,5.61,5.91,1396706
2012-02-13,5.94,6.06,5.86,5.91,1248947
2012-02-14,5.95,6.08,5.9,5.98,532106
2012-02-15,6.03,6.07,5.76,5.81,819385
2012-02-16,5.74,5.94,5.52,5.87,1117521
2012-02-17,5.95,6.05,5.92,5.94,482352
2012-02-20,6.04,6.05,5.91,5.99,342848
2012-02-21,5.99,6.03,5.9,6.02,232884
2012-02-22,6.03,6.05,5.9,5.99,258317
2012-02-23,5.92,5.99,5.91,5.93,189523
2012-02-24,5.93,5.98,5.82,5.91,197410
2012-02-27,5.93,5.93,5.76,5.82,131217
2012-02-28,5.83,5.94,5.78,5.9,146144
2012-02-29,5.95,5.95,5.79,5.87,196438
2012-03-01,5.87,5.87,5.57,5.8,250751
2012-03-02,5.75,5.8,5.68,5.71,220972
2012-03-05,5.69,5.7,5.53,5.56,278203
2012-03-06,5.55,5.55,5.4,5.41,578332
2012-03-07,5.36,5.54,5.35,5.54,231711
2012-03-08,5.66,5.97,5.58,5.97,817107
