Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-03,40.929,41.708,40.929,41.417,640
2012-01-04,41.538,41.952,41.417,41.812,1547
2012-01-05,42.177,42.439,42.177,42.391,819
2012-01-09,46.311,46.311,42.673,42.673,363
2012-01-10,42.993,42.993,42.757,42.757,512
2012-01-11,46.226,46.226,42.664,42.664,528
2012-01-12,42.993,42.993,42.102,42.102,665
2012-01-13,42.214,42.214,42.214,42.214,23
2012-01-16,42.635,42.635,42.41,42.41,292
2012-01-17,42.514,42.532,42.27,42.27,2417
2012-01-18,42.43,42.43,41.51,41.735,427
2012-01-19,41.98,41.98,41.661,41.792,503
2012-01-20,41.67,41.67,41.67,41.67,37
2012-01-23,41.201,41.445,40.76,40.76,2827
2012-01-24,41.258,41.258,41.08,41.164,43
2012-01-25,41.164,41.258,41.164,41.258,29
2012-01-26,40.779,40.779,40.648,40.648,153
2012-01-27,40.554,40.611,39.767,40.611,2040
2012-01-30,40.133,40.329,40.133,40.329,124
2012-01-31,40.333,40.333,39.955,40.2,382
2012-02-01,40.198,40.198,40.066,40.066,26
2012-02-02,39.991,40.235,39.927,40.133,2282
2012-02-03,40.216,40.32,40.216,40.32,322
2012-02-07,40.32,40.32,40.32,40.32,12
2012-02-08,42.194,42.194,40.207,40.32,480
2012-02-09,40.31,40.394,40.31,40.394,93
2012-02-10,40.62,40.779,40.225,40.779,150
2012-02-13,40.883,40.883,40.667,40.667,313
2012-02-14,40.601,40.638,40.432,40.432,281
2012-02-15,41.033,41.342,40.809,41.342,55189
2012-02-16,41.735,41.735,41.221,41.538,17857
2012-02-17,41.735,41.735,40.809,40.873,64028
2012-02-20,41.146,41.146,40.966,40.966,389
2012-02-21,40.976,40.976,40.949,40.949,9
2012-02-22,42.551,42.551,41.033,41.033,12
2012-02-23,41.033,41.033,40.564,40.564,122
2012-02-24,40.527,40.527,40.413,40.413,96
2012-02-27,40.413,40.413,40.057,40.17,223
2012-02-28,39.851,39.851,39.851,39.851,103
2012-02-29,39.851,40.142,39.842,39.842,80
2012-03-01,39.927,40.198,39.842,39.842,204
2012-03-02,40.133,40.367,40.133,40.367,188
2012-03-05,42.063,42.063,40.629,40.629,255
2012-03-06,40.452,40.581,40.403,40.403,165
2012-03-07,40.413,40.844,40.413,40.844,326
2012-03-08,40.976,40.976,40.216,40.216,209
2012-03-09,40.413,40.413,40.32,40.32,427
2012-03-13,41.106,41.106,41.106,41.106,10
2012-03-14,41.745,42.102,41.745,42.007,365
2012-03-15,41.914,42.289,41.914,42.289,36
2012-03-16,42.194,42.204,42.194,42.204,34
2012-03-19,42.664,42.664,41.773,41.773,37
2012-03-20,41.773,41.895,41.773,41.782,249
2012-03-21,41.782,41.782,41.782,41.782,20
2012-03-22,42.111,42.111,41.661,41.661,2128
2012-03-26,41.586,41.586,41.586,41.586,10
2012-03-27,41.924,41.924,41.914,41.914,40
2012-03-28,41.914,41.96,41.914,41.96,23
2012-03-29,41.754,41.754,41.754,41.754,189
2012-04-02,41.708,41.735,41.708,41.727,16024
2012-04-03,41.727,41.82,41.727,41.82,108
2012-04-04,41.914,42.194,41.914,42.194,112
2012-04-05,41.858,42.4,41.858,42.4,99
2012-04-10,42.617,42.617,41.933,42.083,155
2012-04-11,41.727,41.727,41.727,41.727,133
2012-04-12,41.258,41.802,41.258,41.727,225
2012-04-13,41.999,41.999,41.999,41.999,3
2012-04-16,41.848,42.233,41.848,42.233,54
2012-04-17,42.617,42.617,41.943,41.943,57
2012-04-18,42.168,42.168,42.168,42.168,36
2012-04-19,42.27,42.27,41.952,41.952,3252
2012-04-23,42.664,42.664,42.664,42.664,3221
2012-04-24,41.445,41.812,41.398,41.398,7475
2012-04-25,41.848,41.848,41.417,41.417,5468
2012-04-26,41.632,41.632,41.632,41.632,34
2012-04-27,42.355,42.355,42.243,42.289,57
2012-04-30,42.177,42.177,41.727,41.727,154
2012-05-02,42.168,42.439,42.168,42.439,15
2012-05-07,41.782,41.782,41.782,41.782,87
2012-05-08,41.782,41.782,41.577,41.577,154
2012-05-09,41.586,41.586,41.586,41.586,5
2012-05-10,42.355,42.355,42.355,42.355,2
2012-05-11,42.43,42.43,42.43,42.43,35
2012-05-14,42.899,42.899,42.458,42.712,315
2012-05-15,42.852,43.358,42.852,43.358,115
2012-05-16,43.508,43.508,43.246,43.508,564
2012-05-17,43.32,43.32,43.256,43.256,51
2012-05-18,42.757,42.757,42.609,42.609,72
2012-05-21,42.194,42.194,42.194,42.194,4
2012-05-22,42.448,42.748,42.448,42.748,71
2012-05-23,43.394,43.394,43.17,43.17,27
2012-05-24,43.237,43.657,43.237,43.657,24
2012-05-28,43.809,43.873,43.809,43.873,42
2012-05-29,44.06,44.06,44.06,44.06,47
2012-05-30,44.06,44.06,44.06,44.06,5
2012-05-31,44.089,44.435,44.089,44.435,427
2012-06-01,44.258,44.362,44.258,44.362,160
2012-06-04,44.362,44.362,44.362,44.362,1
2012-06-05,42.468,42.468,42.468,42.468,213
2012-06-06,44.07,44.07,42.664,42.664,303
2012-06-08,43.02,43.02,42.926,42.926,388
2012-06-11,43.603,43.603,43.603,43.603,235
2012-06-12,44.727,44.727,43.32,43.32,419
2012-06-13,43.817,43.817,43.771,43.771,174
2012-06-14,43.34,43.34,43.34,43.34,22
2012-06-15,43.179,43.179,43.179,43.179,28
2012-06-18,43.368,43.621,43.04,43.621,251
2012-06-19,43.621,43.621,43.583,43.583,174
2012-06-20,43.489,43.545,43.489,43.535,545
2012-06-21,43.545,43.545,43.246,43.246,366
2012-06-22,43.414,43.414,43.133,43.133,175
2012-06-25,44.906,44.906,43.04,43.04,271
2012-06-26,42.842,42.842,42.842,42.842,11
2012-06-27,42.738,43.133,42.738,43.077,130
2012-06-28,43.452,43.817,43.452,43.695,166
2012-06-29,43.419,43.419,42.918,43.286,185
2012-07-03,43.574,43.574,43.508,43.508,68
2012-07-05,45.899,45.899,43.883,44.709,126
2012-07-06,44.156,44.156,44.156,44.156,5
2012-07-09,44.699,44.699,44.699,44.699,55
2012-07-13,44.727,44.727,43.723,43.949,77
2012-07-16,44.108,44.108,44.108,44.108,181
2012-07-17,44.164,44.164,44.164,44.164,17
2012-07-18,43.705,44.24,43.705,44.22,288
2012-07-19,44.173,44.173,44.173,44.173,534
2012-07-20,44.07,44.268,44.07,44.137,221
2012-07-23,44.577,44.577,44.577,44.577,14
2012-07-24,44.211,44.211,44.211,44.211,19
2012-07-25,43.967,43.967,43.789,43.789,251
2012-07-26,43.394,43.394,43.04,43.04,248
2012-07-27,43.612,43.612,43.612,43.612,22
2012-07-30,43.883,43.883,43.883,43.883,20
2012-08-01,43.911,43.911,43.911,43.911,10
2012-08-02,43.789,43.789,43.789,43.789,22
2012-08-03,43.883,43.883,43.855,43.855,210
2012-08-06,43.526,43.526,43.526,43.526,182
2012-08-07,43.274,43.274,43.274,43.274,118
2012-08-09,43.686,44.173,43.621,44.173,152
2012-08-16,44.352,44.54,43.958,43.958,369
2012-08-17,44.24,44.24,44.24,44.24,52
2012-08-20,44.416,44.416,44.388,44.388,86
2012-08-21,44.07,44.07,43.835,43.835,187
2012-08-23,43.809,43.809,43.667,43.667,154
2012-08-24,43.32,43.32,43.32,43.32,16
2012-08-28,43.603,43.603,43.603,43.603,302
2012-08-29,43.883,44.258,43.603,44.258,99
2012-08-30,44.549,44.549,44.54,44.54,141
2012-08-31,44.543,44.543,44.523,44.523,258
2012-09-03,44.727,44.727,44.671,44.671,120
2012-09-04,44.54,44.54,44.324,44.493,26
2012-09-05,44.493,44.493,44.465,44.465,91
2012-09-06,44.531,44.531,44.381,44.381,28
2012-09-07,44.07,44.07,44.07,44.07,108
2012-09-11,43.723,43.845,43.161,43.161,327
2012-09-12,43.01,43.01,43.01,43.01,3178
2012-09-14,43.133,43.404,43.03,43.246,1518
2012-09-17,43.217,43.603,43.04,43.603,139
2012-09-19,44.07,44.118,44.07,44.118,119
2012-09-20,44.24,44.24,44.24,44.24,1280
2012-09-21,44.22,44.22,44.22,44.22,30
2012-09-24,44.342,44.605,44.24,44.605,138
2012-09-25,44.727,44.727,44.605,44.605,103
2012-09-27,44.07,44.07,44.07,44.07,104
2012-09-28,44.069,44.069,43.608,43.608,258
2012-10-02,43.835,43.835,43.47,43.47,333
2012-10-03,43.986,43.986,43.986,43.986,8
2012-10-04,43.817,43.817,43.742,43.742,49
2012-10-11,43.3,43.508,43.3,43.508,11
2012-10-15,42.795,42.795,42.795,42.795,108
2012-10-16,44.54,44.54,44.54,44.54,11
2012-10-22,45.008,45.008,42.609,43.03,2423
2012-10-25,43.104,43.189,43.104,43.189,53
2012-10-29,46.508,46.508,43.086,43.151,211
2012-10-30,42.795,46.518,42.795,46.518,59
2012-10-31,43.145,43.154,42.947,42.947,531
2012-11-02,43.394,43.394,43.394,43.394,21
2012-11-05,47.342,47.342,43.424,43.508,78
2012-11-06,43.676,43.695,43.676,43.695,57
2012-11-08,47.258,47.258,47.258,47.258,8
2012-11-09,43.133,43.3,42.589,43.3,1029
2012-11-12,44.679,44.679,43.227,43.227,82
2012-11-13,43.133,43.133,43.133,43.133,52
2012-11-14,42.852,42.852,42.852,42.852,787
