Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,28.686,29.155,28.565,29.091,19145
2012-01-03,29.244,29.244,28.929,29.026,157677
2012-01-04,28.929,29.01,28.161,28.283,377592
2012-01-05,28.485,28.517,28.201,28.283,42973
2012-01-09,28.283,28.363,28.121,28.234,28199
2012-01-10,28.428,28.485,28.242,28.251,253334
2012-01-11,28.283,28.444,28.218,28.242,28935
2012-01-12,28.251,28.444,28.227,28.331,145320
2012-01-13,28.444,29.382,28.444,29.382,258935
2012-01-16,29.172,30.287,29.099,30.238,139435
2012-01-17,30.611,30.868,30.521,30.545,72832
2012-01-18,30.707,30.852,29.955,30.545,104173
2012-01-19,30.699,31.014,30.545,30.998,87262
2012-01-20,30.796,31.111,30.796,31.03,62776
2012-01-23,31.038,31.636,31.03,31.628,175423
2012-01-24,31.628,31.628,31.41,31.579,43381
2012-01-25,31.515,31.757,31.393,31.475,37081
2012-01-26,31.596,32.048,31.523,31.717,110446
2012-01-27,31.677,32.323,31.636,32.323,471707
2012-01-30,32.323,32.646,32.201,32.646,63901
2012-01-31,32.723,33.369,32.403,32.403,228015
2012-02-01,32.687,33.373,32.687,33.366,64775
2012-02-02,33.455,33.648,33.259,33.535,152527
2012-02-03,33.617,33.721,33.422,33.527,53327
2012-02-06,33.325,33.851,33.325,33.851,56272
2012-02-07,33.737,34.788,33.737,34.343,161352
2012-02-08,34.504,35.264,34.504,35.264,73993
2012-02-09,35.264,35.466,34.989,35.151,154898
2012-02-10,34.989,35.039,33.697,34.02,83503
2012-02-13,34.061,34.384,33.826,33.899,122519
2012-02-14,33.858,34.335,33.777,33.777,28255
2012-02-15,33.867,34.092,33.494,33.494,74686
2012-02-16,33.535,33.575,32.889,33.212,117205
2012-02-17,33.301,33.98,33.301,33.802,89534
2012-02-20,33.617,33.705,33.414,33.535,34447
2012-02-21,33.656,33.656,33.034,33.131,51593
2012-02-22,33.131,33.171,32.508,32.606,208997
2012-02-23,32.687,33.131,32.582,32.687,44303
2012-02-24,32.784,33.617,32.784,33.617,64758
