Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-10-13,24.7,25.25,24.1,24.26,47375
2015-10-14,24.58,24.69,24.1,24.5,11280
2015-10-15,24.33,24.5,24.1,24.2,6513
2015-10-16,24.39,24.39,24.2,24.35,2250
2015-10-19,24.1,24.12,24.04,24.05,6565
2015-10-20,24,24.04,22.24,23,27759
2015-10-21,23,23.16,22.92,23,14310
2015-10-22,22.99,22.99,22.05,22.25,10501
2015-10-23,21.92,22.17,21.85,22,19734
2015-10-26,21.7,21.95,21.7,21.7,4368
2015-10-27,21.31,22.28,20.1,22.28,18732
2015-10-28,22.29,22.3,21.81,22,2476
2015-10-29,21.1,21.85,21.1,21.5,15549
2015-10-30,21.5,22.8,21.5,22.5,7376
2015-11-02,22.73,23.5,22.73,23.5,7260
2015-11-03,23.5,23.5,23,23,3258
2015-11-04,22.99,22.99,22.85,22.95,343
2015-11-05,22.5,22.5,22.3,22.5,625
2015-11-06,22.95,23,22.95,22.95,851
2015-11-09,23,23,22,22,661
2015-11-10,22,22,21.2,21.22,1051
2015-11-12,21.5,21.78,21.21,21.26,788
2015-11-13,21.26,21.3,21.2,21.26,6211
2015-11-16,21.2,21.2,20.8,20.82,14653
2015-11-17,20.82,21,20.8,21,96509
2015-11-18,20.8,21,20.8,20.89,7331
2015-11-19,20.9,22,20.85,21.5,1719
2015-11-20,21.7,21.7,21,21.4,1362
2015-11-23,21,21.12,20.81,20.95,8201
2015-11-24,20.8,21,20.8,20.9,4829
2015-11-25,20.81,20.87,20.5,20.87,11539
2015-11-26,20.89,21,20.75,20.95,2421
2015-11-27,20.85,21.4,20.75,21.4,2664
2015-11-30,21.4,21.98,20.8,21.88,18083
2015-12-01,21.8,21.8,21,21.6,2457
2015-12-02,21.06,21.5,20.9,20.9,58125
2015-12-03,20.8,21,20.6,21,958
2015-12-04,20.71,20.9,20.41,20.9,5667
2015-12-07,20.41,21,20.41,20.6,1008
2015-12-08,20.6,20.6,20.49,20.5,172
2015-12-09,20.42,20.43,20.41,20.41,2252
2015-12-10,20.42,20.5,20.41,20.41,2820
2015-12-11,20.41,20.41,19,19.5,18782
2015-12-14,19.5,19.5,18.5,19,10524
2015-12-15,18.5,19.63,18.5,19.2,3895
2015-12-16,19,19.8,18.5,19.8,3430
2015-12-17,19.8,21.29,19.79,20.9,3930
2015-12-18,20.9,20.9,20.39,20.9,1291
2015-12-21,20.9,20.95,20.4,20.88,3835
2015-12-22,20.88,20.88,19.15,20.88,4582
2015-12-23,20.02,20.9,19.66,20.6,6067
2015-12-28,20.1,20.9,20,20.9,9117
2015-12-29,20.9,21,20.46,20.98,4550
2015-12-30,20.99,21.98,20.99,21.97,12206
2016-01-04,21.31,21.5,20,21.5,3283
2016-01-05,21.16,21.49,20.49,20.49,2670
2016-01-07,20.5,20.5,20.21,20.3,610
2016-01-08,20.03,20.2,20.03,20.2,373
2016-01-11,20.01,20.02,19.99,19.99,1646
2016-01-12,19.57,20.45,19.57,20.45,105
2016-01-13,19.66,20.11,19.66,20,167
2016-01-14,20.45,20.45,20.38,20.38,17
2016-01-15,20.4,20.4,20.35,20.35,8
2016-01-18,20.1,20.1,19.02,19.35,1020
2016-01-19,19.5,19.5,19.01,19.01,670
2016-01-20,19,19,17.28,18,11281
2016-01-21,17.9,17.97,17.5,17.7,579
2016-01-22,17.5,17.7,16.4,16.9,14293
2016-01-25,16.32,16.5,15.9,15.99,4631
2016-01-26,15.88,16,15.05,16,5997
2016-01-27,16.04,16.04,15.6,15.67,2184
2016-01-28,15.67,15.99,15.67,15.9,4544
2016-01-29,15.93,15.93,15.36,15.61,3756
2016-02-01,15.5,15.5,15.3,15.3,1815
2016-02-02,15.05,15.06,14.32,14.32,5155
2016-02-03,14.48,14.48,13.39,13.6,9169
2016-02-04,13.51,14.49,13.51,14.31,135655
2016-02-05,14.89,15.9,14.5,14.5,35525
2016-02-08,14.51,15.58,14.51,15.48,5845
2016-02-09,15.7,15.7,14.9,15.01,2569
2016-02-10,15.28,15.9,15.28,15.7,7113
2016-02-11,15.89,15.89,15,15.22,2475
2016-02-12,15.33,15.6,15.17,15.17,928
2016-02-15,15.17,15.36,15.13,15.25,839
2016-02-16,15.24,15.5,14.66,15.38,3323
2016-02-17,15.37,15.9,15.37,15.9,11824
2016-02-18,16.01,16.7,16.01,16.25,7762
2016-02-19,16.26,16.26,15.55,15.7,12057
2016-02-22,15.4,15.79,15.01,15.3,17649
2016-02-23,15.2,15.2,14.86,15.2,5961
