Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,114.6,115,112.7,114,727
2012-01-03,114,115.7,114,115.5,32
2012-01-04,116.8,116.8,113.6,113.6,53
2012-01-05,113.4,115.8,112.5,115.5,349
2012-01-09,112.3,114.9,112.3,112.6,353
2012-01-10,112.6,113,112.6,112.6,165
2012-01-11,113,114.5,112,112,562
2012-01-12,113,113,111.7,112.9,79
2012-01-13,112.9,114,111.1,112.5,15071
2012-01-16,113.5,113.5,113.4,113.4,19
2012-01-17,114.9,117.4,113,117.4,793
2012-01-18,118,118,115,115.9,365
2012-01-19,115.1,117,115,117,205
2012-01-20,117,118,115.5,115.5,363
2012-01-23,117.9,117.9,113.1,116.9,2590
2012-01-24,116.7,116.7,114.5,116.4,309
2012-01-25,116.5,118,114,117.4,126703
2012-01-26,118,128,117.5,124.7,3974
2012-01-27,123.8,134.6,123.8,127.6,805
2012-01-30,132.3,132.3,128.6,129,749
2012-01-31,128,134.9,128,128.5,1624
2012-02-01,128.5,134,128.5,132.5,46790
2012-02-02,133.6,133.6,130,130.3,1114
2012-02-03,130.3,133.9,130.3,133.9,208
2012-02-06,133.8,143,131.1,142,8138
2012-02-07,141.9,144.5,139.1,142,6927
2012-02-08,142,142,135.1,141,16623
2012-02-09,141,141,137,137,707
2012-02-10,138,138,134,137,996
2012-02-13,138,138,136,136,588
2012-02-14,136,136,130,136,2445
2012-02-15,135.9,136,133,135.9,587
2012-02-16,133.1,135.7,133.1,135,689
2012-02-17,135,135,133.1,134.9,222
2012-02-20,136,136,135.2,136,825
2012-02-21,135.8,135.8,132,135.5,235
2012-02-22,133.2,135.5,131.2,131.3,24100
2012-02-23,131,135.8,131,135.4,27255
2012-02-24,135.7,135.7,134.4,135.4,231
2012-02-27,136,136,132.6,134.9,314
2012-02-28,136,143,136,138,2847
2012-02-29,137.7,137.7,133.1,137.3,1397
2012-03-01,138,138,135.5,137,988
2012-03-02,137.8,139,136.8,137,3768
2012-03-05,137,138.9,136,137,1652
2012-03-06,138,138,130.7,134.8,2101
2012-03-07,134,137.5,134,137,853
2012-03-08,137.5,140,136.1,137,4171
2012-03-09,139.9,139.9,137,139,137
2012-03-12,139,139.9,137.2,139.7,20320
2012-03-13,139.8,139.8,139.7,139.7,538
2012-03-14,139.8,147.5,139.7,147.5,22551
2012-03-15,149.5,153.4,148,150.3,1858
2012-03-16,154.4,154.4,151.1,151.1,212
2012-03-19,152,155,149,149,6866
2012-03-20,153.7,153.7,149,151,5262
2012-03-21,151,151.5,150,151.5,924
2012-03-22,151.5,151.5,146.6,151.1,807
2012-03-23,152.5,152.5,149,150,1229
2012-03-26,151.2,151.2,149,150.2,12604
2012-03-27,148.6,153.9,148.6,153.6,8403
2012-03-28,153,154.5,152.6,153.5,11450
2012-03-29,155.1,156,150.6,151,5598
2012-03-30,153,153,150.6,152.9,5760
2012-04-02,155,161.5,150.2,155,1483
2012-04-03,155.4,155.4,153,153,339
2012-04-04,152.6,155.4,152.6,152.6,227
2012-04-05,154,154,146,150,10950
2012-04-10,151,153.3,147,148.8,368
2012-04-11,149,150,147,147.5,548
2012-04-12,148.9,150.8,143.8,150.8,2600
2012-04-13,150,150,145.3,148.5,1229
2012-04-16,148.2,148.4,145,145.8,4948
2012-04-17,145.9,146.5,145.6,145.6,2199
2012-04-18,146,146,140.5,143.9,2863
2012-04-19,143.1,148.9,140.3,142.5,2907
2012-04-20,145,145.1,140,142,12588
2012-04-23,149.5,152,141.1,143,2715
2012-04-24,143.1,143.3,136.1,137.7,15134
2012-04-25,140,140,134,137,4382
2012-04-26,140,140,136.1,140,312
2012-04-27,143.5,144,139.5,140,709
2012-04-30,142,144,138,138,328
2012-05-02,137.5,137.5,137.5,137.5,1357
2012-05-04,143.8,143.8,129.5,137,993
2012-05-07,133.8,140.8,133.8,138,562
2012-05-08,138,138,133.9,138,348
2012-05-09,137,138,134.5,134.9,708
2012-05-10,133.7,137.5,133.7,137.5,333
2012-05-11,138.9,138.9,137,137,2
2012-05-14,136.8,136.8,132,136,456
2012-05-15,136.9,136.9,132,132,495
2012-05-16,134.7,139,122.5,136,11002
2012-05-17,136,137,130,134,2320
