Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,76.538,78.904,76.447,77.903,27513
2012-01-03,78.267,81.088,78.267,81.043,111387
2012-01-04,80.497,81.907,79.996,81.043,204536
2012-01-05,80.087,80.997,79.222,80.997,44573
2012-01-09,80.997,81.043,79.632,80.906,211599
2012-01-10,80.633,82.999,80.178,80.36,128483
2012-01-11,81.771,82.59,80.997,82.362,66588
2012-01-12,81.543,84.273,81.543,84,91544
2012-01-13,84,86.094,82.089,83.636,190744
2012-01-16,81.907,86.094,81.907,86.094,57558
2012-01-17,86.094,88.232,86.003,87.322,245032
2012-01-18,87.322,89.188,85.729,89.188,198847
2012-01-19,88.733,90.553,88.369,88.778,163036
2012-01-20,87.732,90.189,87.732,90.098,103468
2012-01-23,90.098,90.917,88.369,89.643,134037
2012-01-24,88.733,89.688,86.458,88.642,122930
2012-01-25,88.687,89.188,87.413,88.278,107931
2012-01-26,88.46,90.735,88.278,90.234,236420
2012-01-27,89.779,91.918,89.688,90.872,119449
2012-01-30,90.189,92.646,90.098,91.827,117242
2012-01-31,92.189,96.468,92.102,96.468,303671
2012-02-01,96.286,98.289,96.104,97.561,144788
2012-02-02,97.925,98.562,95.376,96.56,186825
2012-02-03,97.288,97.288,94.83,96.013,72473
2012-02-06,91.918,98.38,91.918,98.38,198987
2012-02-07,98.38,100.11,98.289,100.02,275804
2012-02-08,100.11,101.02,99.472,100.65,285065
2012-02-09,100.65,102.38,98.289,99.199,114400
2012-02-10,98.289,98.289,95.558,95.558,99519
2012-02-13,95.649,98.562,95.649,98.016,94281
2012-02-14,97.834,99.199,97.379,97.561,169638
2012-02-15,97.925,99.381,96.741,97.379,147422
2012-02-16,97.379,97.379,95.558,96.468,238188
2012-02-17,96.924,97.925,96.65,97.925,105620
2012-02-20,97.379,98.835,96.468,98.38,102977
2012-02-21,98.38,98.471,96.468,97.743,89768
2012-02-22,97.379,97.743,94.921,97.379,142489
2012-02-23,97.379,97.834,96.741,96.741,102209
2012-02-24,96.741,97.379,95.103,96.377,127039
2012-02-27,96.195,97.014,92.828,93.738,148261
2012-02-28,94.648,95.558,94.284,94.921,125746
2012-02-29,96.286,96.382,93.92,94.468,203439
2012-03-01,93.829,94.557,93.465,94.557,58354
2012-03-02,94.648,96.468,93.92,96.468,86689
2012-03-05,95.285,96.013,92.373,92.373,71630
2012-03-06,92.373,92.555,89.006,89.825,146554
2012-03-07,89.688,90.689,89.188,90.143,161288
2012-03-08,90.689,92.1,90.371,91.918,73892
2012-03-09,92.373,95.194,92.373,95.194,170389
2012-03-12,94.648,96.377,93.738,96.377,131715
2012-03-13,96.377,96.377,93.465,93.465,296289
2012-03-14,95.467,97.561,94.648,96.286,638358
2012-03-15,96.013,96.013,93.738,94.011,229364
2012-03-16,93.738,93.829,91.099,91.099,356533
2012-03-19,91.918,92.1,90.325,90.325,309114
2012-03-20,90.28,90.325,87.004,88.278,265708
2012-03-21,89.051,89.188,86.094,86.64,137405
2012-03-22,86.913,87.322,82.726,82.908,270970
2012-03-23,83.727,87.732,82.726,86.458,182965
2012-03-26,86.549,88.005,86.276,87.186,83135
2012-03-27,88.733,90.826,87.823,88.414,210978
2012-03-28,88.642,89.552,87.459,88.187,91649
2012-03-29,87.413,87.686,84.774,85.548,153784
2012-03-30,86.37,86.909,85.505,85.957,133188
2012-04-02,86.23,87.368,85.729,87.368,76615
2012-04-03,87.823,88.733,86.594,88.733,100287
2012-04-04,86.64,88.232,86.64,88.096,158300
2012-04-05,88.46,88.46,87.186,87.641,34272
2012-04-10,86.64,86.64,84.637,84.637,52289
2012-04-11,84.637,86.139,83.318,85.639,61053
2012-04-12,86.23,86.276,84.501,85.32,149985
2012-04-13,85.275,85.275,82.362,82.726,170122
2012-04-16,82.817,83.591,82.635,83.09,105041
2012-04-17,83.045,86.276,82.817,86.276,107013
2012-04-18,86.367,86.685,84.774,85.275,180341
2012-04-19,85.138,85.912,83.045,84.364,128009
2012-04-20,84.364,84.364,82.453,82.453,77723
2012-04-23,82.453,82.999,78.722,79.177,118879
2012-04-24,79.268,81.543,79.177,81.543,77378
2012-04-25,81.907,83.363,81.907,82.135,82651
2012-04-26,83.636,83.636,80.224,82.362,53729
2012-04-27,82.271,85.548,81.953,85.548,125295
2012-04-30,86.005,86.188,84.091,84.226,55747
2012-05-02,85.502,86.094,83.318,83.727,74057
2012-05-04,84.319,84.319,82.817,83.045,168105
2012-05-07,81.998,85.001,81.498,85.001,78418
2012-05-08,83.909,85.548,83.454,83.727,74328
2012-05-09,83.636,84.137,81.998,82.044,90287
2012-05-10,84.182,85.001,83.181,85.001,169787
2012-05-11,83.818,85.229,82.726,85.229,85913
2012-05-14,83.773,84.046,82.453,84.046,119475
2012-05-15,84.046,84.091,81.907,83.727,60390
