Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,74.558,80.22,73.884,79.478,1212516
2012-01-03,79.748,79.883,76.243,78.4,1995721
2012-01-04,77.456,78.265,75.906,77.523,958530
2012-01-05,77.995,78.063,75.165,76.85,724352
2012-01-09,77.321,77.995,74.895,74.895,1604431
2012-01-10,76.109,77.659,76.109,76.85,1856339
2012-01-11,77.12,77.659,76.512,77.523,1656633
2012-01-12,77.456,83.659,77.456,83.322,5299854
2012-01-13,83.523,85.749,82.242,83.187,1807459
2012-01-16,82.242,83.726,82.242,83.591,624217
2012-01-17,85.681,87.366,85.614,86.624,1796762
2012-01-18,87.501,88.175,85.883,87.77,1132073
2012-01-19,88.175,88.647,80.759,87.568,2607402
2012-01-20,87.501,87.568,86.152,87.568,706123
2012-01-23,87.232,88.243,86.692,87.298,777462
2012-01-24,86.961,88.444,85.411,88.377,979424
2012-01-25,88.377,88.849,86.085,86.624,1329225
2012-01-26,87.232,90.332,86.692,88.916,2247450
2012-01-27,88.916,92.694,88.849,90.265,1651462
2012-01-30,90.265,91.61,88.781,91.61,889535
2012-01-31,92.083,95.668,91.819,94.115,1986486
2012-02-01,94.378,97.28,93.769,96.464,2206669
2012-02-02,97.478,97.547,95.924,96.938,847462
2012-02-03,96.398,97.948,95.393,97.005,1279320
2012-02-06,96.54,96.938,95.45,96.398,751139
2012-02-07,96.464,97.005,93.031,95.592,1019950
2012-02-08,95.924,96.663,95.194,95.592,960643
2012-02-09,96.066,96.464,94.042,95.725,1194404
2012-02-10,94.378,94.378,91.409,91.409,1791594
2012-02-13,92.557,93.769,91.409,91.409,865749
2012-02-14,91.947,93.769,90.601,91.072,1531474
2012-02-15,92.958,93.296,90.808,91.209,1277426
2012-02-16,91.01,91.683,89.389,89.86,1242299
2012-02-17,91.683,92.894,91.409,92.758,942717
2012-02-20,93.296,94.777,93.296,93.368,678549
2012-02-21,95.052,95.194,92.758,94.72,737868
2012-02-22,94.72,94.72,92.083,93.632,1147549
2012-02-23,93.296,95.317,92.758,93.368,1216969
2012-02-24,93.97,96.74,93.97,96.74,1948827
2012-02-27,96.74,96.74,95.118,96.398,792154
2012-02-28,96.74,98.898,96.464,98.683,1593889
2012-02-29,100.31,102.81,99.3,99.3,2442831
2012-03-01,99.104,101.25,98.223,101.04,901661
2012-03-02,101.45,102.94,100.93,102.06,1333869
2012-03-05,101.59,101.66,98.428,98.83,1651343
2012-03-06,98.683,98.683,93.568,95.251,2224590
2012-03-07,94.777,97.072,93.97,97.072,2747544
2012-03-08,97.615,99.98,97.137,98.957,1476681
2012-03-09,99.57,100.31,97.413,98.556,1672220
2012-03-12,98.428,99.98,98.154,99.7,672101
2012-03-13,99.77,102.06,99.104,102.06,1477420
2012-03-14,102.4,104.29,102.34,103.82,2571284
2012-03-15,103.82,104.16,103,103.82,1210440
2012-03-16,103.68,104.01,102.94,103.07,1902807
2012-03-19,103.14,103.48,100.71,101.32,1161809
2012-03-20,101.12,101.25,98.556,99.7,1159462
2012-03-21,100.1,101.25,99.104,99.7,877591
2012-03-22,99.104,99.153,95.867,97.615,1369894
2012-03-23,97.615,98.085,95.118,96.398,1654161
2012-03-26,97.674,99.231,95.99,98.83,1056431
2012-03-27,101.12,101.39,99.104,100.1,1628888
2012-03-28,98.428,99.026,95.658,95.99,2185401
2012-03-29,95.45,95.924,93.231,93.769,1704482
2012-03-30,95.317,96.938,95.184,96.464,1983447
2012-04-02,97.615,98.761,95.99,98.761,704449
2012-04-03,98.35,99.3,98.085,98.487,808525
2012-04-04,97.337,97.337,94.106,95.052,1778729
2012-04-05,95.725,97.811,93.568,97.615,1514113
2012-04-10,96.806,96.806,93.368,93.368,1121653
2012-04-11,93.031,95.251,92.157,94.243,814828
2012-04-12,94.919,96.663,94.179,96.398,1103915
2012-04-13,96.199,96.331,93.432,93.705,810199
2012-04-16,93.094,94.777,92.284,93.432,1098172
2012-04-17,93.705,95.658,93.432,94.919,1048486
2012-04-18,95.592,95.867,90.936,92.356,1225225
2012-04-19,93.705,94.72,92.421,92.494,772546
2012-04-20,92.621,94.042,91.483,93.769,861696
2012-04-23,93.705,93.705,89.792,89.792,1303321
2012-04-24,91.61,92.157,88.849,91.273,887195
2012-04-25,92.02,92.894,90.399,90.399,1186111
2012-04-26,91.61,92.083,90.198,90.735,1511951
2012-04-27,91.01,92.83,90.062,92.83,931882
2012-04-30,93.368,93.568,92.767,93.568,659329
2012-05-02,93.705,94.243,92.356,93.031,732853
2012-05-04,92.356,92.958,90.332,91.146,1334554
2012-05-07,89.524,90.467,88.309,90.332,878394
2012-05-08,90.265,90.265,87.703,87.703,1872608
2012-05-09,88.107,88.309,85.614,86.557,1842695
2012-05-10,87.635,88.715,86.557,87.635,2397196
2012-05-11,87.298,87.298,85.749,86.961,890270
2012-05-14,86.423,86.557,83.929,85.951,869518
2012-05-15,85.883,86.288,83.793,83.793,696002
2012-05-16,81.906,84.468,80.624,82.984,1452032
2012-05-17,84.063,84.602,79.613,80.895,2466667
2012-05-18,79.681,80.759,78.804,80.489,1818491
2012-05-21,81.568,82.85,81.029,82.446,886475
2012-05-22,83.254,84.063,82.513,82.85,1367239
2012-05-23,81.636,81.77,79.546,79.546,1964086
2012-05-24,80.624,81.096,77.187,79.478,2092035
2012-05-25,80.489,81.23,79.344,79.681,1265698
2012-05-28,80.895,81.636,80.355,81.501,490744
2012-05-29,81.568,82.58,81.029,82.58,1366974
2012-05-30,82.242,85.276,81.23,84.333,2994736
2012-05-31,84.603,87.234,83.925,86.287,2054863
2012-06-01,86.288,86.624,83.793,84.602,1192695
2012-06-04,83.86,85.411,83.659,85.276,766700
2012-06-05,86.287,86.622,84.804,84.939,768476
2012-06-06,85.617,87.904,85.617,87.904,1492899
2012-06-08,87.77,92.083,85.883,91.483,2534222
2012-06-11,93.031,93.568,91.483,91.483,1066566
2012-06-12,91.683,95.052,91.683,95.052,1751977
2012-06-13,95.791,98.223,94.511,95.791,1584928
