Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,42.952,42.952,42.286,42.423,1653
2012-01-03,42.638,42.913,42.148,42.638,51612
2012-01-04,42.638,42.638,42.442,42.442,210
2012-01-05,42.442,42.638,42.246,42.246,1877
2012-01-09,42.158,42.638,42.148,42.638,2271
2012-01-10,42.638,42.638,41.952,41.952,1759
2012-01-11,41.952,42.148,41.315,41.315,1890
2012-01-12,41.168,42.208,40.482,41.658,6223
2012-01-13,42.609,42.609,41.658,42.06,8016
2012-01-16,41.56,41.806,41.56,41.776,18708
2012-01-17,41.844,41.854,41.61,41.825,3098
2012-01-18,42.609,42.609,41.511,42.148,4264
2012-01-19,42.148,42.148,41.658,41.952,40704
2012-01-20,41.345,42.246,41.345,42.246,1047
2012-01-23,41.668,41.992,41.619,41.992,1716
2012-01-24,42.05,42.198,42.05,42.148,5162
2012-01-25,41.904,41.962,41.57,41.962,108
2012-01-26,41.58,42.148,41.58,41.806,46430
2012-01-27,42.138,42.198,41.854,42.198,8131
2012-01-30,41.688,42.148,41.374,42.148,1844
2012-01-31,42.138,42.148,41.374,41.541,1289
2012-02-01,41.854,42.05,41.776,41.854,2613
2012-02-02,41.854,41.864,41.756,41.756,136632
2012-02-03,41.658,42.002,41.168,42.002,3384
2012-02-06,42.05,43.08,42.012,42.638,5081
2012-02-07,43.08,45.579,43.031,45.579,20490
2012-02-08,46.266,47.539,45.099,45.579,8751
2012-02-09,44.942,45.668,44.403,44.403,4387
2012-02-10,44.383,44.403,43.433,44.089,2120
2012-02-13,44.403,45.079,43.667,44.109,8247
2012-02-14,44.119,44.187,44.089,44.109,2365
2012-02-15,44.109,45.079,44.109,45.06,28678
2012-02-16,45.05,45.972,44.893,45.874,2213
2012-02-17,45.874,45.972,45.54,45.677,5105
2012-02-20,45.726,45.972,45.197,45.962,3088
2012-02-21,45.972,46.07,45.598,46.07,1741
2012-02-22,46.07,46.168,44.413,44.579,5895
2012-02-23,44.501,45.932,44.501,45.383,3145
2012-02-24,45.089,45.668,45.089,45.579,1140
2012-02-27,45.481,46.951,45.481,46.687,6940
2012-02-28,46.687,47.049,45.972,46.658,19990
2012-02-29,46.56,47,45.726,46.168,1712
2012-03-01,45.776,46.05,45.099,45.952,1667
2012-03-02,46.55,46.55,45.628,45.628,2796
2012-03-05,45.785,46.256,45.776,46.07,993
2012-03-06,45.794,45.794,43.138,44.207,5579
2012-03-07,44.207,44.893,44.119,44.893,28305
2012-03-08,45.079,46.755,45.079,46.5,4143
2012-03-09,46.608,46.608,46.07,46.354,478
2012-03-12,46.648,46.648,44.893,46.402,4033
2012-03-13,46.51,46.51,44.873,44.893,24881
2012-03-14,46.05,46.481,44.913,46.088,90458
2012-03-15,46.266,47.147,46.266,46.951,7041
2012-03-16,47.049,47.373,46.56,46.932,3229
2012-03-19,45.874,46.658,45.285,45.285,3488
2012-03-20,45.481,46.55,45.285,46.354,3683
2012-03-21,46.56,47.049,45.932,47.049,11913
2012-03-22,47.236,48.52,47.236,47.981,19617
2012-03-23,48.98,49.892,48.52,49.402,14419
2012-03-26,49.5,49.745,49.206,49.5,63303
2012-03-27,49.402,49.402,49.01,49.157,323653
2012-03-28,49.108,49.892,49.01,49.892,15870
2012-03-29,49.892,50.48,48.677,48.725,54886
2012-03-30,48.725,49.451,48.725,49.206,23691
2012-04-02,49.206,50.872,47.549,48.039,23763
2012-04-03,48.647,49.598,48.127,48.569,25891
2012-04-04,49.01,49.01,47.637,47.637,12590
2012-04-05,47.647,49,47.647,48.677,23703
2012-04-10,49.402,49.402,47.775,47.805,6544
2012-04-11,47.805,49.01,46.56,48.52,37429
2012-04-12,49,50.578,49,50.578,9709
2012-04-13,50.97,50.97,49.99,49.99,15208
2012-04-16,49.5,50.48,49.5,50.088,3774
2012-04-17,50.284,50.284,49.5,50.088,1981
2012-04-18,50.137,50.284,49.01,49.99,7603
2012-04-19,49.99,49.99,49.01,49.01,4134
2012-04-20,49.01,49.01,48.069,48.814,4001
2012-04-23,48.961,48.961,46.07,46.07,10472
2012-04-24,46.266,47.627,46.266,46.755,16808
2012-04-25,47.441,47.539,47.049,47.049,15625
2012-04-26,47.627,47.627,47.147,47.245,6878
2012-04-27,47.539,48.019,47.295,47.343,3246
2012-04-30,47.931,47.931,47.343,47.343,1555
2012-05-02,47.343,47.343,46.266,47.03,3640
2012-05-04,46.364,47.01,46.07,46.902,1842
2012-05-07,45.295,46.706,45.295,46.462,3849
2012-05-08,47.226,47.539,47.216,47.539,1952
2012-05-09,47.491,47.833,46.951,47.637,1254
2012-05-10,47.735,48.51,46.951,47.931,491
2012-05-11,47.931,48.127,47.098,48.127,1330
2012-05-14,48.52,48.52,47.157,47.539,816
2012-05-15,47.059,47.539,46.853,46.853,22510
2012-05-16,46.755,46.755,44.109,46.118,12854
2012-05-17,46.07,46.07,44.069,44.109,12143
2012-05-18,43.119,45.04,43.119,44.942,3680
2012-05-21,45.256,45.648,45.256,45.579,759
2012-05-22,45.677,46.51,44.354,45.04,2494
2012-05-23,44.893,44.991,44.893,44.991,20588
2012-05-24,44.109,44.599,44.109,44.599,694
2012-05-25,44.119,44.795,44.109,44.795,1172
2012-05-28,44.452,45.089,44.452,45.089,192
2012-05-29,44.217,44.991,44.217,44.217,144
2012-05-30,44.109,44.119,44.109,44.109,1072
2012-05-31,43.717,45.776,43.717,45.187,8121
2012-06-01,45.079,45.579,45.079,45.079,609
2012-06-04,44.255,45.079,44.207,44.255,2510
2012-06-05,44.255,44.962,43.187,44.795,1602
2012-06-06,43.276,45.187,43.276,45.187,1203
2012-06-08,45.226,45.756,44.433,45.079,1123
2012-06-11,45.285,46.04,45.285,45.883,4446
2012-06-12,46.06,46.148,45.874,46.148,41761
2012-06-13,46.07,46.148,45.776,45.776,12146
2012-06-14,45.668,45.668,45.148,45.197,12059
2012-06-15,44.697,45.716,44.139,44.854,259
2012-06-18,45.089,45.864,44.903,44.903,6225
2012-06-19,44.991,44.991,43.971,44.109,11021
2012-06-20,44.109,44.109,43.383,44.059,1109
2012-06-21,44.059,44.903,43.717,44.109,24842
2012-06-22,44.109,44.109,43.335,44.109,1590
2012-06-25,44.109,44.109,43.717,44.099,955
2012-06-26,43.648,44.452,43.619,44.452,2890
2012-06-27,44.305,44.305,43.863,44.305,418
2012-06-28,44.109,44.109,43.765,44.109,19716
2012-06-29,44.109,45.383,43.629,45.383,3262
2012-07-02,44.697,45.981,44.697,45.981,3163
2012-07-03,45.922,45.942,45.099,45.334,43860
2012-07-04,45.952,45.952,45.089,45.089,1783
2012-07-05,45.383,46.01,45.383,45.579,2724
2012-07-06,45.579,45.922,44.609,45.922,5345
2012-07-09,45.962,45.962,45.089,45.138,629
2012-07-10,45.383,45.942,45.118,45.118,1253
2012-07-11,45.118,45.912,45.04,45.04,866
2012-07-12,45.04,45.04,44.265,44.501,249
2012-07-13,44.599,44.599,43.913,44.109,2237
2012-07-16,43.737,44.599,43.737,44.109,97
2012-07-17,43.619,44.942,43.619,44.942,1762
2012-07-18,44.942,44.942,44.217,44.893,30790
2012-07-19,44.315,44.403,44.167,44.207,7164
2012-07-20,43.629,44.481,43.629,44.461,802
2012-07-23,44.255,44.255,41.168,42.834,13219
2012-07-24,43.119,43.56,43.119,43.129,4282
2012-07-25,43.129,43.472,43.129,43.472,710
2012-07-26,43.129,43.129,43.129,43.129,747
2012-07-27,43.207,44.011,43.207,44.011,443
2012-07-30,44.109,44.207,44.011,44.109,1413
2012-07-31,44.059,44.491,43.619,44.491,4568
2012-08-01,44.55,44.55,43.913,43.913,611
2012-08-02,43.335,43.374,43.129,43.374,27291
2012-08-03,43.374,44.599,43.227,44.589,4690
2012-08-06,43.913,44.746,43.913,44.599,1207
2012-08-07,43.923,44.452,43.913,44.109,1284
2012-08-08,44.109,44.599,44.109,44.599,34071
2012-08-09,43.491,44.599,43.129,44.589,8128
2012-08-10,44.619,44.619,44.109,44.109,496
2012-08-13,44.109,44.109,43.765,43.765,231
2012-08-14,43.765,44.501,43.717,44.501,490
2012-08-16,43.667,44.109,43.667,43.785,1961
2012-08-17,43.737,44.109,43.737,43.756,6365
2012-08-20,43.667,44.109,43.667,44.109,2231
2012-08-21,44.207,45.285,44.207,45.285,2347
2012-08-22,44.893,45.53,44.893,45.089,1932
2012-08-23,45.364,45.364,45.089,45.089,2739
2012-08-24,44.599,44.795,44.452,44.795,836
2012-08-27,44.893,45.383,44.109,45.373,2050
2012-08-28,45.373,45.383,44.599,44.599,470
