Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-04-11,18.008,18.008,16.943,17.271,146509
2014-04-14,17.168,17.168,16.664,16.803,39675
2014-04-15,16.803,16.963,16.71,16.795,3548
2014-04-16,16.795,16.926,16.71,16.71,3489
2014-04-17,16.618,16.99,16.618,16.803,3806
2014-04-22,17.074,17.355,16.85,17.317,2316
2014-04-23,17.271,17.364,17.178,17.317,7517
2014-04-24,17.317,17.317,17.308,17.308,975
2014-04-25,17.158,17.271,16.803,17.271,9461
2014-04-28,17.317,17.317,16.813,17.261,876
2014-04-29,17.261,17.261,16.803,17.261,1564
2014-04-30,17.317,17.317,16.803,17.168,3351
2014-05-02,17.252,17.252,16.803,16.803,3844
2014-05-05,17.178,17.233,16.897,16.897,740
2014-05-06,16.897,17.084,16.803,16.897,1305
2014-05-07,16.803,16.813,16.598,16.748,7179
2014-05-08,16.748,16.756,16.719,16.719,1645
2014-05-09,16.729,16.729,16.524,16.524,773
2014-05-12,16.524,16.608,15.608,16.057,62194
2014-05-13,16.234,16.234,15.871,16.038,2708
2014-05-14,15.889,15.889,15.777,15.889,14915
2014-05-15,15.871,16.337,15.871,16.337,325
2014-05-16,16.327,16.337,15.871,16.327,2457
2014-05-19,16.29,16.29,16.29,16.29,10
2014-05-20,15.973,16.01,15.571,15.982,1622
2014-05-21,15.973,15.991,15.544,15.916,833
2014-05-22,16.001,16.748,15.871,16.748,3415
2014-05-23,16.664,16.795,16.664,16.795,1083
2014-05-26,16.795,16.85,16.795,16.85,5
2014-05-27,16.803,16.803,16.571,16.785,716
2014-05-28,16.795,16.795,16.795,16.795,10
2014-05-29,16.618,16.618,16.43,16.524,464
2014-05-30,16.43,17.261,16.15,17.261,5407
2014-06-02,17.224,17.224,16.618,16.748,1237
2014-06-03,16.803,16.803,15.908,16.664,268
2014-06-04,16.057,16.664,16.057,16.618,762
2014-06-05,16.243,16.477,16.243,16.477,414
2014-06-06,16.618,17.037,16.449,16.449,12506
2014-06-09,16.748,17.131,16.337,17.131,4326
2014-06-10,17.242,17.252,17.084,17.084,3021
2014-06-11,17.084,17.084,16.803,17.018,1191
2014-06-12,17.018,17.018,16.99,17.01,337
2014-06-13,16.803,17,16.803,17,796
2014-06-16,16.99,16.99,16.43,16.934,1033
2014-06-17,17,17,16.635,16.99,1767
2014-06-18,16.98,17.037,16.98,16.99,479
2014-06-20,17.037,17.037,16.99,17.037,376
2014-06-23,16.99,16.99,16.99,16.99,36
2014-06-24,17.064,17.064,16.71,17.027,597
2014-06-25,17.057,17.057,16.99,16.99,473
2014-06-26,16.393,16.98,16.393,16.98,2682
2014-06-27,16.99,16.99,16.897,16.897,15
2014-06-30,16.972,16.972,16.626,16.803,468
2014-07-01,16.803,16.803,16.43,16.43,174
2014-07-02,16.664,16.71,16.196,16.71,3898
2014-07-03,16.71,16.71,16.71,16.71,10
2014-07-04,16.71,16.71,16.71,16.71,10
2014-07-07,16.71,16.71,16.702,16.702,1618
2014-07-08,16.71,16.71,16.618,16.682,2180
2014-07-09,16.682,16.682,16.243,16.672,1105
2014-07-10,16.672,16.672,16.196,16.645,2696
2014-07-11,16.645,16.645,16.243,16.524,1463
2014-07-14,16.159,16.588,16.159,16.588,1425
2014-07-15,16.588,16.588,16.216,16.477,689
2014-07-16,16.588,16.588,16.02,16.281,1104
2014-07-17,16.374,16.374,15.871,16.337,1870
2014-07-18,16.327,16.588,15.963,16.588,1188
2014-07-21,16.337,16.337,15.871,16.196,1961
2014-07-22,16.234,16.356,16.15,16.15,70
2014-07-23,16.057,16.15,16.057,16.15,239
2014-07-24,16.15,16.15,16.094,16.094,1943
2014-07-25,16.318,16.318,15.945,16.029,9870
2014-07-28,16.412,16.412,16.29,16.29,3217
2014-07-29,15.737,16.166,15.737,15.976,8839
2014-07-30,16.014,16.014,15.832,15.928,266
2014-07-31,15.909,15.909,15.718,15.909,2506
2014-08-01,15.976,15.976,15.26,15.956,4675
2014-08-04,15.832,16.118,15.832,16.062,4246
2014-08-05,16.214,16.214,15.451,15.451,815
2014-08-06,15.499,15.499,15.26,15.26,5404
2014-08-07,15.25,15.25,14.306,14.936,17789
2014-08-08,14.936,14.936,13.734,14.497,9855
2014-08-11,14.679,14.679,14.487,14.497,2108
2014-08-12,14.726,14.726,14.306,14.487,89
2014-08-13,14.717,14.717,14.497,14.497,111
2014-08-14,14.726,14.726,14.068,14.497,363
2014-08-18,14.726,14.726,14.164,14.593,514
2014-08-19,14.583,14.583,14.306,14.497,760
2014-08-20,14.497,14.497,14.116,14.497,1124
2014-08-21,14.497,14.497,14.306,14.306,139
2014-08-22,14.354,14.497,14.354,14.497,587
2014-08-25,14.316,15.26,14.316,14.783,718
2014-08-26,14.783,14.783,14.354,14.487,57
2014-08-27,14.487,14.487,14.402,14.487,639
2014-08-28,14.487,14.487,14.306,14.306,10898
2014-08-29,14.306,14.306,13.887,14.116,14034
2014-09-01,14.306,14.306,13.543,14.297,12667
2014-09-02,14.306,14.306,13.83,14.297,3738
2014-09-03,13.925,15.26,13.925,15.26,2256
2014-09-04,15.26,15.356,14.888,15.346,3035
2014-09-05,15.356,15.356,14.688,14.688,836
2014-09-08,14.783,14.783,14.306,14.774,1221
2014-09-09,14.774,14.774,14.211,14.306,148340
2014-09-10,14.449,14.449,14.306,14.383,148456
2014-09-11,15.241,15.241,14.593,14.641,1914
2014-09-12,14.735,15.156,14.735,15.156,43067
2014-09-15,15.25,15.785,15.164,15.461,22035
2014-09-16,15.451,15.842,15.451,15.832,36948
2014-09-17,15.852,16.681,15.852,16.233,27106
2014-09-18,16.491,16.691,16.233,16.691,28091
2014-09-19,17.062,17.062,17.015,17.015,478
2014-09-22,17.148,17.148,16.786,16.968,716
2014-09-23,16.977,17.301,16.968,17.168,3526
2014-09-24,17.168,17.168,17.072,17.168,6140
2014-09-25,17.168,17.168,16.529,17.168,4216
2014-09-26,16.71,17.168,16.701,17.168,3333
2014-09-29,17.168,17.454,17.072,17.444,9592
2014-09-30,17.444,17.454,16.882,17.454,17331
2014-10-01,17.454,17.454,17.186,17.454,16189
2014-10-02,17.454,17.454,17.349,17.435,42101
2014-10-03,17.454,17.454,17.092,17.1,52469
2014-10-06,17.072,17.587,17.072,17.587,19606
2014-10-07,17.597,17.597,17.244,17.549,26356
2014-10-08,17.597,17.597,17.206,17.549,33654
2014-10-09,17.597,17.597,17.549,17.549,12924
2014-10-10,17.597,17.645,17.549,17.549,13845
2014-10-13,17.597,17.759,17.597,17.74,12156
2014-10-14,17.693,17.74,17.501,17.501,33347
2014-10-15,17.597,17.597,17.168,17.368,403
2014-10-16,17.539,17.655,17.216,17.655,42502
2014-10-17,17.693,17.74,17.645,17.645,4874
2014-10-20,17.645,17.645,17.645,17.645,19
2014-10-21,17.645,17.645,17.645,17.645,10490
2014-10-22,17.731,17.731,17.645,17.645,10595
2014-10-23,17.645,17.645,17.645,17.645,10600
2014-10-24,17.645,17.645,17.358,17.645,2180
2014-10-27,17.731,17.731,17.635,17.635,111
2014-10-28,17.635,17.635,17.635,17.635,5
2014-10-29,17.635,17.635,17.635,17.635,3
2014-10-30,17.635,17.635,17.539,17.539,6
2014-10-31,17.625,17.625,17.168,17.168,6
2014-11-03,17.225,17.225,16.5,17.11,1905
2014-11-04,17.044,17.062,16.786,17.062,619
2014-11-05,17.168,18.122,17.11,17.178,4567
2014-11-06,17.206,17.311,17.206,17.311,52
2014-11-07,18.016,18.016,17.368,17.645,282
2014-11-10,17.969,17.978,17.921,17.921,2865
2014-11-12,17.95,18.503,17.883,18.303,45313
2014-11-13,18.264,19.028,18.264,18.932,1913
2014-11-14,18.932,18.932,18.407,18.932,1111
2014-11-17,18.884,18.884,18.407,18.818,116
2014-11-18,18.818,19.028,18.36,18.36,1404
2014-11-19,18.685,18.685,18.17,18.217,225
2014-11-20,18.112,18.112,17.473,17.902,185
2014-11-21,17.902,18.112,17.902,18.026,305
2014-11-24,18.112,18.112,18.007,18.007,1065
2014-11-25,18.112,18.599,18.112,18.331,27429
2014-11-26,18.407,21.459,18.407,21.459,50312
2014-11-27,20.983,21.459,19.81,21.183,7607
2014-11-28,21.202,24.226,21.192,23.854,55680
2014-12-01,23.854,26.457,23.844,26.457,197615
2014-12-02,26.705,26.705,24.798,25.561,6297
2014-12-03,24.655,28.517,24.655,28.517,21235
2014-12-04,28.613,29.948,27.01,27.01,143800
2014-12-05,27.01,29.09,26.705,29.042,6702
2014-12-08,29.042,29.567,27.086,27.64,8930
2014-12-09,27.182,27.23,25.227,25.227,5954
2014-12-10,25.236,26.677,25.236,26.124,519
2014-12-11,26.028,26.028,23.968,24.817,3849
2014-12-12,25.751,28.422,24.464,28.422,11784
2014-12-15,26.896,27.659,26.715,27.278,781
