Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,29.089,29.817,29.089,29.8,808986
2012-01-03,29.826,29.979,29.655,29.916,1800773
2012-01-04,29.943,30.068,29.152,29.647,2293073
2012-01-05,29.629,29.638,28.659,28.865,2989538
2012-01-09,29.197,29.197,27.778,27.85,3795200
2012-01-10,28.03,28.497,27.948,28.209,5373808
2012-01-11,28.38,28.38,27.338,27.401,4392105
2012-01-12,27.49,28.488,27.41,27.993,5482744
2012-01-13,28.362,28.793,28.075,28.551,3319917
2012-01-16,28.245,28.927,28.245,28.748,2652381
2012-01-17,29.197,29.565,29.063,29.171,3067030
2012-01-18,29.431,29.898,28.873,29.548,4014829
2012-01-19,29.737,30.051,29.035,29.997,8759309
2012-01-20,29.8,30.365,29.8,29.916,3640700
2012-01-23,30.185,30.896,29.961,30.689,3315499
2012-01-24,30.635,30.805,30.176,30.321,1545081
2012-01-25,30.589,30.769,30.051,30.276,2644532
2012-01-26,30.581,31.892,30.419,31.398,6319728
2012-01-27,31.335,31.488,30.994,31.21,3053824
2012-01-30,31.03,31.398,30.779,31.398,1811922
2012-01-31,31.293,31.685,31.031,31.312,6445062
2012-02-01,31.264,32,31.227,31.892,2452051
2012-02-02,32.072,32.413,31.605,32.377,2013074
2012-02-03,32.314,33.042,32.054,32.494,2670622
2012-02-06,32.513,32.513,31.847,32.405,2555119
2012-02-07,32.431,32.602,31.812,32.072,3170990
2012-02-08,32.117,32.306,31.856,32.072,3384679
2012-02-09,32.162,32.387,31.964,32.252,2226150
2012-02-10,31.983,32.206,31.623,31.847,2374206
2012-02-13,32.072,32.135,31.659,32.054,1087669
2012-02-14,31.892,32.162,31.371,31.533,2226791
2012-02-15,31.758,32.162,31.659,32.117,2149069
2012-02-16,31.668,32.144,31.668,31.713,2701830
2012-02-17,32.117,32.162,31.847,32.117,1774212
2012-02-20,32.162,32.476,31.892,31.892,1393264
2012-02-21,32.108,32.135,31.631,31.901,1277663
2012-02-22,32.072,32.072,31.093,31.443,7325124
2012-02-23,31.147,31.668,30.904,30.904,2700603
2012-02-24,31.173,31.173,30.293,30.545,5658384
2012-02-27,30.626,31.075,30.006,30.859,2363277
2012-02-28,31.057,31.057,30.276,30.545,2339828
2012-02-29,30.77,30.891,30.386,30.545,4801119
2012-03-01,30.365,30.994,30.365,30.994,2131680
2012-03-02,30.904,30.985,30.554,30.985,2168771
2012-03-05,30.769,30.887,29.916,29.916,4360400
2012-03-06,30.006,30.141,29.683,29.97,3311269
2012-03-07,29.88,30.239,29.647,30.114,2123026
2012-03-08,30.131,30.994,30.105,30.814,3583421
2012-03-09,30.994,31.371,30.823,30.823,2393117
2012-03-12,30.814,30.994,30.545,30.769,779251
2012-03-13,31.066,31.218,30.751,31.192,2490112
2012-03-14,31.443,31.983,31.38,31.983,3267385
2012-03-15,31.821,32.063,31.56,32.063,1503611
2012-03-16,31.901,32.027,31.281,31.3,5522674
2012-03-19,31.335,31.371,30.41,30.725,3793504
2012-03-20,30.868,30.868,30.176,30.545,3140188
2012-03-21,30.554,30.833,30.375,30.545,1300670
2012-03-22,30.545,30.662,30.185,30.284,1920818
2012-03-23,30.41,30.41,29.853,30.204,2801233
2012-03-26,30.321,30.715,30.051,30.563,1236393
2012-03-27,30.887,31.057,30.563,30.859,2161203
2012-03-28,30.589,30.904,30.589,30.904,963516
2012-03-29,30.725,30.788,30.168,30.248,1300210
2012-03-30,30.508,30.807,30.19,30.19,1710901
2012-04-02,30.356,30.635,29.961,30.213,2758684
2012-04-03,30.23,30.365,29.916,29.916,1653501
2012-04-04,29.853,30.15,29.647,29.647,1803624
2012-04-05,29.781,29.925,29.386,29.556,1315970
2012-04-10,29.655,30.213,29.601,29.961,1530428
2012-04-11,29.8,30.545,29.629,30.347,2749269
2012-04-12,30.545,30.545,30.033,30.455,1723634
2012-04-13,30.392,30.491,30.096,30.276,1391706
2012-04-16,30.051,30.635,30.051,30.122,1722623
2012-04-17,30.116,30.555,30.116,30.452,1709874
2012-04-18,30.536,30.536,29.584,29.97,2115131
2012-04-19,30.276,30.311,29.556,29.556,2205659
2012-04-20,29.565,29.692,29.018,29.108,1221406
2012-04-23,29.089,29.089,28.192,28.218,2421987
2012-04-24,28.523,28.811,28.308,28.748,2269671
2012-04-25,28.659,29.027,28.596,28.757,3172103
2012-04-26,28.838,29.377,28.838,29.377,6209498
2012-04-27,29.395,30.051,29.117,30.051,3091786
2012-04-30,30.003,30.368,29.76,30.368,1578957
2012-05-02,30.473,30.608,29.647,29.755,1914217
2012-05-04,30.176,30.185,29.377,29.404,2863199
2012-05-07,29.225,29.584,28.856,29.287,1291155
2012-05-08,29.188,29.35,28.514,28.514,1990603
2012-05-09,28.76,29.284,28.321,29.199,3391786
2012-05-10,29.284,29.284,28.676,29.153,2381989
2012-05-11,28.767,29.152,28.676,29.018,793029
2012-05-14,28.927,28.927,28.164,28.298,2895769
2012-05-15,28.389,28.551,27.814,28.047,1451923
2012-05-16,27.85,28.829,27.481,28.479,2687351
2012-05-17,28.479,28.64,27.553,27.553,3362466
2012-05-18,27.489,28.19,27.359,27.853,1701830
2012-05-21,28.254,28.739,28.03,28.254,1759168
2012-05-22,28.479,29.269,28.263,28.847,3038557
2012-05-23,28.713,28.721,27.41,27.5,2136726
2012-05-24,27.715,27.831,27.042,27.401,3530551
2012-05-25,27.648,28.012,27.536,27.993,2282081
2012-05-28,28.173,28.335,28.075,28.209,1103150
2012-05-29,28.128,28.919,27.85,28.748,1576442
2012-05-30,28.676,28.788,27.985,28.302,2730096
2012-05-31,28.536,28.751,27.993,28.751,2776606
2012-06-01,28.741,28.741,27.993,28.396,1783922
2012-06-04,28.088,28.769,28.088,28.443,1542806
2012-06-05,28.386,28.611,28.04,28.04,1102850
2012-06-06,28.227,29.424,28.227,29.377,2876024
2012-06-08,29.443,29.891,28.741,29.816,3483424
2012-06-11,29.91,30.368,29.47,29.47,2209918
2012-06-12,29.657,30.564,29.629,30.378,3446279
2012-06-13,30.283,30.574,30.143,30.405,2102006
2012-06-14,30.302,30.564,30.19,30.219,1857361
2012-06-15,30.378,31.031,30.283,30.826,5847927
2012-06-18,31.004,31.405,30.62,30.91,1812747
2012-06-19,31.022,31.723,30.863,31.723,2570708
2012-06-20,31.518,32.003,31.518,31.798,1991688
2012-06-21,31.592,31.685,31.237,31.48,1483745
2012-06-22,31.022,31.489,31.012,31.489,1014908
2012-06-25,31.097,31.256,30.704,30.891,825829
2012-06-26,31.031,31.826,31.031,31.685,1694851
2012-06-27,31.639,32.527,31.518,32.527,2687424
2012-06-28,32.48,32.489,31.312,31.685,1655285
2012-06-29,31.985,32.34,31.685,32.34,2154763
2012-07-02,32.059,32.125,31.321,31.545,1860939
2012-07-03,31.545,31.919,31.171,31.499,1603015
2012-07-04,31.48,31.499,30.938,31.171,1362552
2012-07-05,31.171,31.779,31.171,31.592,1428607
2012-07-06,31.667,31.751,31.012,31.386,1151964
2012-07-09,31.125,31.246,30.807,31.125,1340632
2012-07-10,31.266,31.312,30.845,31.171,996905
2012-07-11,30.985,31.209,30.116,30.283,2185367
2012-07-12,29.994,30.611,29.928,30.555,2509794
2012-07-13,30.657,31.293,30.471,30.872,1145752
2012-07-16,30.797,31.246,30.574,30.938,929683
2012-07-17,30.938,31.443,30.91,31.144,1309772
2012-07-18,30.378,30.742,30.302,30.564,10256579
2012-07-19,30.845,31.377,30.471,30.657,9231350
2012-07-20,30.657,30.77,29.723,29.723,6323544
2012-07-23,29.443,29.443,28.507,29.069,5163002
2012-07-24,29.069,29.395,28.891,29.387,2896085
2012-07-25,29.162,29.629,29.069,29.069,1892571
2012-07-26,29.218,29.947,28.984,29.443,2328422
2012-07-27,29.882,30.087,29.536,30.087,1584421
2012-07-30,30.068,30.517,29.863,30.517,2675295
2012-07-31,30.396,30.63,30.078,30.378,2351645
