Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-02,1.8582,1.8902,1.8582,1.8823,3353
2012-01-03,1.8179,1.9788,1.8179,1.9788,73942
2012-01-04,1.9627,1.9627,1.8742,1.8902,83398
2012-01-05,1.9465,1.9465,1.8501,1.8823,1382
2012-01-09,1.8421,1.9064,1.8421,1.8902,7137
2012-01-10,1.8823,2.0753,1.8823,1.9707,57900
2012-01-11,1.9465,1.9707,1.9064,1.9064,21415
2012-01-12,1.8902,1.9627,1.8902,1.9465,18975
2012-01-13,1.9627,1.9707,1.9064,1.9225,7908
2012-01-16,1.9225,1.9627,1.8902,1.9386,11625
2012-01-17,1.9386,2.0431,1.9386,1.9867,27951
2012-01-18,2.0511,2.0753,2.0109,2.0753,29976
2012-01-19,2.0753,2.1959,2.0511,2.1799,60015
2012-01-20,2.204,2.3166,2.1718,2.3086,92961
2012-01-23,2.3488,2.381,2.2684,2.3006,25915
2012-01-24,2.2924,2.2924,2.1074,2.2443,128596
2012-01-25,2.2603,2.3086,2.1236,2.1799,86047
2012-01-26,2.1959,2.2684,2.0511,2.2522,36757
2012-01-27,2.2281,2.3006,2.1959,2.2924,56526
2012-01-30,2.3086,2.3891,2.2522,2.3891,113558
2012-01-31,2.3759,2.5487,2.3759,2.5055,111958
2012-02-01,2.582,2.6142,2.5097,2.5177,215506
2012-02-02,2.5177,2.5901,2.4935,2.5016,62108
2012-02-03,2.5337,2.6544,2.5337,2.5579,31504
2012-02-06,2.6142,2.6706,2.5337,2.5981,29545
2012-02-07,2.6063,2.6303,2.5337,2.5981,20004
2012-02-08,2.5419,2.6142,2.5177,2.5579,19828
2012-02-09,2.5177,2.6465,2.5016,2.5579,25039
2012-02-10,2.5337,2.566,2.4372,2.4695,26547
2012-02-13,2.4856,2.4935,2.4775,2.4775,4214
2012-02-14,2.4856,2.4935,2.4614,2.4614,11524
2012-02-15,2.4614,2.6142,2.4534,2.55,15278
2012-02-16,2.6303,2.6303,2.5097,2.5258,23084
2012-02-17,2.574,2.6142,2.574,2.6142,39218
2012-02-20,2.6384,2.7992,2.6384,2.7832,33161
2012-02-21,2.7832,2.9762,2.7832,2.8957,141408
2012-02-22,2.96,2.96,2.8797,2.9118,17276
2012-02-23,2.8957,2.96,2.8153,2.8957,18943
2012-02-24,2.8957,2.8957,2.7912,2.8635,10318
